title,predicted,expected
8-Bit Armies,Everyone 10+,Everyone 10+
Injustice 2,Teen,Teen
Deathstate,Teen,Teen
Games of Glory,Everyone 10+,Teen
Marvel Heroes Omega,Teen,Teen
Outlast 2,Mature,Mature
Shovel Knight: Specter of Torment,Everyone,Everyone
Statik,Teen,Teen
Symphony of the Machine,Everyone,Everyone
The Walking Dead: A New Frontier - Thicker than Water,Mature,Mature
What Remains of Edith Finch,Teen,Teen
Aven Colony ,Everyone 10+,Everyone 10+
Yooka-Laylee,Everyone 10+,Everyone 10+
The Golf Club 2,Everyone,Everyone
The Elder Scrolls Online: Morrowind,Mature,Mature
Psychonauts In The Rhombus Of Ruin,Everyone 10+,Everyone 10+
Yakuza Kiwami,Mature,Mature
Micro Machines: World Series,Everyone 10+,Everyone 10+
'n Verlore Verstand,Everyone,Everyone
BLACKHOLE: Complete Edition,Teen,Teen
ACA NEOGEO FATAL FURY 2,Teen,Teen
ACA NEOGEO OVER TOP,Everyone,Everyone
Bandit Six: Combined Arms,Teen,Teen
ACA NEOGEO SENGOKU 2,Teen,Teen
Flinthook,Everyone 10+,Everyone 10+
Full Throttle Remastered,Teen,Teen
HeroCade,Teen,Teen
Late Shift,Teen,Mature
MechRunner,Everyone 10+,Everyone 10+
Portal Knights,Everyone 10+,Everyone 10+
Shiness: The Lightning Kingdom,Teen,Teen
Spear of Destiny,Teen,Mature
Stardew Valley,Everyone 10+,Everyone 10+
The Disney Afternoon Collection,Everyone,Everyone 10+
VR Invaders,Everyone 10+,Everyone 10+
Wonder Boy: The Dragon's Trap,Everyone 10+,Everyone 10+
Valkyria Revolution,Mature,Teen
Job Simulator,Everyone 10+,Everyone 10+
Baila Latino ,Everyone,Everyone
NARUTO SHIPPUDEN: Ultimate Ninja STORM Trilogy,Teen,Teen
Aaero,Everyone 10+,Everyone 10+
Cosmic Star Heroine,Teen,Teen
Crawl,Teen,Teen
Euro Fishing,Everyone,Everyone
Kero Blaster,Everyone,Everyone
Snow Moto Racing Freedom,Everyone,Everyone
The Sexy Brutale,Teen,Teen
Sudden Strike 4,Teen,Teen
Marvel's Guardians of the Galaxy: The Telltale Series - Season Pass Disc,Teen,Teen
SplashDown Rides Gone Wild,Everyone,Everyone
ACA NEOGEO GALAXY FIGHT: UNIVERSAL WARRIORS,Teen,Teen
TEKKEN 7,Teen,Teen
MXGP3 - The Official Motocross Videogame,Everyone,Everyone
Air Conflicts: Secret Wars Ultimate Edition,Teen,Teen
ArmaGallant: Decks of Destiny,Everyone 10+,Everyone 10+
Blackwood Crossing,Everyone,Everyone
Drawn to Death,Mature,Mature
FlatOut 4: Total Insanity,Teen,Teen
Hatsune Miku: Project DIVA Future Tone 3rd Encore Pack,Teen,Everyone 10+
Mortal Blitz,Teen,Teen
Mr. Massagy,Teen,Mature
Parappa the Rapper Remastered,Everyone,Everyone
Plutobi: The Dwarf Planet Tales,Everyone,Everyone
Use Your Words,Mature,Mature
VIRRY VR,Teen,Everyone 10+
SAMURAI WARRIORS®: Spirit of Sanada,Teen,Teen
Shadow Tactics - Blades of the Shogun,Teen,Mature
The Silver Case,Teen,Mature
Dark Rose Valkyrie,Teen,Teen
Deer Simulator,Teen,Teen
Punch Club,Teen,Teen
Puyo Puyo™ Tetris®,Everyone,Everyone 10+
Red Faction 2,Teen,Mature
Rogue Stormers,Teen,Teen
SkyKeepers,Everyone,Everyone
Stuntman: Ignition,Teen,Teen
Styx: Shards of Darkness,Mature,Mature
The Inner World,Everyone,Teen
Thimbleweed Park,Everyone 10+,Teen
Zero Escape: The Nonary Games,Mature,Mature
ACA NEOGEO THE KING OF FIGHTERS '95,Teen,Teen
WONDER BOY RETURNS,Everyone,Everyone
88 Heroes,Everyone 10+,Everyone 10+
Anoxemia,Teen,Mature
Dark Souls™ III: The Fire Fades™ Edition,Teen,Mature
Fated: The Silent Oath,Teen,Teen
GOD WARS Future Past,Everyone 10+,Teen
Korix,Everyone 10+,Everyone 10+
Rain World,Everyone 10+,Everyone 10+
Skyforge,Teen,Teen
Snake Pass,Everyone,Everyone
The Walking Dead: A New Frontier - Above the Law,Mature,Mature
Vikings - Wolves of Midgard,Mature,Mature
FATAL FURY BATTLE ARCHIVES VOL.2,Teen,Teen
AKIBA'S BEAT,Everyone 10+,Teen
Prey ,Teen,Mature
88 Heroes,Everyone 10+,Everyone 10+
Death Tales,Everyone 10+,Everyone 10+
EVERYTHING,Everyone,Everyone
Rayon Riddles - Rise of the Goblin King,Everyone,Everyone 10+
Royal Defense,Everyone 10+,Everyone 10+
Little Nightmares,Teen,Teen
Kona,Teen,Teen
R.B.I. Baseball 17,Everyone,Everyone
ACA NEOGEO SENGOKU,Teen,Teen
Momodora: Reverie Under the Moonlight,Teen,Teen
Chaos Code - New Sign of Catastrophe -,Everyone 10+,Teen
Gem Smashers,Everyone,Everyone
SUPERBEAT: XONiC,Teen,Teen
Blue-Collar Astronaut,Everyone 10+,Everyone 10+
Death Squared,Everyone,Everyone
Leave The Nest,Everyone,Everyone
NeuroVoider,Teen,Everyone 10+
Troll & I,Mature,Teen
Mass Effect™: Andromeda,Mature,Mature
Birthdays the Beginning,Everyone,Everyone
Clicker Heroes,Everyone 10+,Everyone 10+
Darknet,Everyone,Everyone 10+
Dino Dini's Kick Off Revival,Everyone,Everyone
Disc Jam,Everyone,Everyone
Hatsune Miku: Project DIVA Future Tone 2nd Encore Pack,Teen,Teen
Loot Rascals,Everyone 10+,Everyone 10+
MLB The Show 17,Everyone,Everyone
Sublevel Zero Redux,Everyone 10+,Everyone 10+
Talisman Digital Edition,Everyone,Everyone 10+
Total Jigsaw,Teen,Everyone 10+
Unearthing Mars,Teen,Teen
Sniper Ghost Warrior 3,Mature,Mature
LEGO City: Undercover,Everyone 10+,Everyone 10+
Infinifactory,Mature,Teen
Syberia 3,Everyone 10+,Teen
Bloons TD 5,Everyone,Everyone
Eekeemoo - Splinters of the Dark Shard,Everyone 10+,Everyone 10+
Summon Night 6:Lost Borders,Everyone 10+,Teen
Ultimate Marvel vs. Capcom 3,Teen,Teen
Cities: Skylines,Everyone,Everyone
A KING'S TALE FINAL FANTASY XV,Everyone 10+,Everyone 10+
ACA NEOGEO NAM-1975,Everyone 10+,Teen
The Walking Dead: The Telltale Series: A New Frontier,Mature,Mature
Dying : Reborn VR,Teen,Teen
DYING:Reborn,Teen,Mature
Ghost Blade HD,Everyone 10+,Everyone 10+
World to the West,Everyone 10+,Everyone 10+
Air Conflicts:  Secret Wars Ultimate Edition ,Teen,Teen
StarBlood Arena,Teen,Teen
Atelier Firis: The Alchemist and the Mysterious Journey,Everyone 10+,Teen
A Pixel Story,Everyone,Everyone 10+
ADK DAMASHII,Teen,Teen
forma.8,Everyone 10+,Everyone 10+
Trulon: The Shadow Engine,Everyone 10+,Everyone 10+
"Warhammer 40,000: Deathwatch",Teen,Teen
ACA NEOGEO NEO TURF MASTERS,Everyone,Everyone
Shift Happens,Everyone,Everyone
Chime Sharp,Everyone,Everyone
LEGO Worlds,Everyone 10+,Everyone 10+
Malicious Fallen,Teen,Teen
Mervils: A VR Adventure,Everyone 10+,Everyone 10+
Night in the Woods,Everyone 10+,Teen
Psychonauts in the Rhombus of Ruin,Everyone 10+,Everyone 10+
Sniper Elite 4,Mature,Mature
STARRY NIGHTS HELIX,Everyone,Everyone
VACCINE,Teen,Mature
Warhammer Quest,Teen,Teen
Ys Origin,Teen,Teen
Has Been Heroes,Everyone 10+,Everyone 10+
SkyRide,Teen,Teen
Battle Islands:  Commanders,Everyone 10+,Everyone 10+
Flywrench,Everyone,Everyone
iO,Everyone,Everyone
Monster Loves You!,Mature,Teen
MX Nitro,Teen,Everyone 10+
Persona 5,Mature,Mature
Semispheres,Everyone,Everyone
Vertical Drop Heroes HD,Everyone 10+,Everyone 10+
Hatsune Miku: Project DIVA Future Tone 1st Encore Pack,Teen,Everyone 10+
Hatsune Miku: Project DIVA Future Tone Colorful Tone,Teen,Teen
Hatsune Miku: Project DIVA Future Tone Future Sound,Teen,Teen
8DAYS,Mature,Mature
Horizon: Zero Dawn,Teen,Teen
How to Survive 2,Mature,Mature
Kitty Powers' Matchmaker,Teen,Teen
Nioh,Teen,Mature
Super GunWorld 2,Everyone,Everyone
The Onion Knights,Everyone 10+,Everyone 10+
Touhou Genso Wanderer,Teen,Teen
Uncanny Valley,Mature,Mature
Valhalla Hills - Definitive Edition ,Teen,Teen
VR Ping Pong,Everyone,Everyone
2Dark,Mature,Mature
Bulletstorm: Full Clip Edition,Mature,Mature
Pixel Heroes: Byte and Magic,Teen,Teen
Adventure Pop,Everyone 10+,Everyone 10+
Dexed,Everyone 10+,Everyone 10+
Divide,Teen,Teen
DYNASTY WARRIORS: Godseekers,Teen,Teen
Kill The Bad Guy,Mature,Mature
Knee Deep,Teen,Teen
Linelight,Everyone,Everyone
Double Dragon 4,Teen,Everyone 10+
ACA NEOGEO WORLD HEROES,Teen,Teen
MXGP2 Comapct,Everyone,Everyone
Toukiden 2,Teen,Teen
Pineview Drive,Teen,Teen
Subterrain,Mature,Mature
Kingdom Hearts HD 1.5 + 2.5 ReMIX,Teen,Everyone 10+
Lock's Quest,Everyone 10+,Everyone 10+
Berserk and the Band of the Hawk,Mature,Mature
Hunter's Legacy,Everyone,Everyone
Toby: The Secret Mine,Everyone 10+,Everyone 10+
Tom Clancy's Ghost Recon Wildlands ,Mature,Mature
Dragon Quest Heroes II,Teen,Teen
2064: Read Only Memories,Mature,Mature
Joe's Diner,Everyone,Everyone 10+
Life of Black Tiger,Teen,Mature
Quest of Dungeons,Everyone 10+,Everyone 10+
RWBY: Grimm Eclipse,Teen,Teen
Saban's Mighty Morphin Power Rangers: Mega Battle,Everyone 10+,Everyone 10+
The Flame in the Flood: Complete Edition,Teen,Teen
ACA NEOGEO FATAL FURY,Teen,Teen
Dead Effect 2,Mature,Mature
Rise & Shine,Mature,Mature
Sylvio,Teen,Teen
Planet 2000,Everyone 10+,Everyone 10+
Spheroids,Everyone,Everyone
ACA NEOGEO ALPHA MISSION II,Everyone,Everyone
Asdivine Hearts,Everyone 10+,Everyone 10+
Hatsune Miku: Project DIVA Future Tone,Teen,Everyone 10+
MX vs. ATV Unleashed,Everyone,Everyone
This is the Police,Mature,Mature
Deformers,Teen,Everyone 10+
Tales of Berseria,Teen,Teen
For Honor,Mature,Mature
Victor Vran Overkill Edition,Teen,Mature
Danganronpa 1•2 Reload,Mature,Mature
Touhou Double Focus,Everyone 10+,Teen
Crypt of the Serpent King,Teen,Teen
